,ADJ PRICE,PE RATIO,DIVIDEND YIELD,EYTY RATIO
1999-06-01,1964.72,28.66,1.23,0.58
1999-07-01,1964.72,28.66,1.23,0.58
1999-08-01,1964.72,28.66,1.23,0.58
1999-09-01,1964.72,28.66,1.23,0.58
1999-10-01,1964.72,28.66,1.23,0.582
1999-11-01,2100.98,29.74,1.24,0.554
1999-12-01,2157.89,29.66,1.2,0.543
2000-01-01,2129.44,29.7,1.22,0.55
2000-02-01,2079.23,27.76,1.26,0.544
2000-03-01,2141.43,28.31,1.28,0.552
2000-04-01,2110.33,28.04,1.27,0.55
2000-05-01,2102.51,27.49,1.17,0.579
2000-06-01,2155.64,28.16,1.17,0.573
2000-07-01,2129.07,27.82,1.17,0.58
2000-08-01,2185.23,27.97,1.15,0.597
2000-09-01,2148.42,27.34,1.18,0.644
2000-10-01,2166.82,27.66,1.16,0.62
2000-11-01,2012.07,26.9,1.13,0.648
2000-12-01,1944.4,26.62,1.11,0.681
2001-01-01,1978.24,26.76,1.12,0.66
2001-02-01,1888.08,27.81,1.17,0.706
2001-03-01,1710.81,26.1,1.18,0.786
2001-04-01,1799.44,26.96,1.17,0.75
2001-05-01,1817.28,32.02,1.21,0.589
2001-06-01,1769.0,33.67,1.23,0.551
2001-07-01,1793.14,32.84,1.22,0.57
2001-08-01,1687.76,37.85,1.33,0.517
2001-09-01,1728.38,35.76,1.28,0.53
2001-10-01,1540.08,39.72,1.27,0.554
2001-11-01,1618.75,43.62,1.3,0.54
2001-12-01,1579.42,41.67,1.28,0.55
2002-01-01,1599.08,42.64,1.29,0.55
2002-02-01,1573.64,44.57,1.46,0.446
2002-03-01,1640.36,46.71,1.39,0.43
2002-04-01,1572.05,43.81,1.37,0.419
2002-05-01,1525.85,41.41,1.38,0.474
2002-06-01,1548.95,42.61,1.38,0.45
2002-07-01,1275.37,32.46,1.36,0.635
2002-08-01,1283.74,31.53,1.42,0.709
2002-09-01,1279.55,32.0,1.39,0.67
2002-10-01,1198.28,29.24,1.58,0.919
2002-11-01,1275.82,32.03,1.77,0.778
2002-12-01,1237.05,30.64,1.68,0.85
2003-01-01,1256.44,31.34,1.72,0.81
2003-02-01,1266.13,31.68,1.74,0.79
2003-03-01,1270.97,31.86,1.76,0.78
2003-04-01,1230.94,28.05,1.79,0.93
2003-05-01,1296.58,28.24,1.8,0.912
2003-06-01,1263.76,28.14,1.8,0.92
2003-07-01,1371.97,27.65,1.92,1.017
2003-08-01,1362.62,26.57,1.82,0.847
2003-09-01,1367.3,27.11,1.87,0.93
2003-10-01,1427.28,24.75,1.64,1.02
2003-11-01,1394.95,25.66,1.73,0.93
2003-12-01,1490.51,22.17,1.66,1.025
2004-01-01,1458.9,23.46,1.65,1.02
2004-02-01,1474.7,22.82,1.65,1.02
2004-03-01,1524.64,21.61,1.63,1.158
2004-04-01,1532.46,21.23,1.61,1.205
2004-05-01,1528.55,21.42,1.62,1.18
2004-06-01,1517.92,20.17,1.6,1.053
2004-07-01,1484.21,19.51,1.61,1.123
2004-08-01,1501.06,19.84,1.6,1.09
2004-09-01,1496.11,19.35,1.64,1.252
2004-10-01,1487.67,19.25,1.7,1.233
2004-11-01,1555.74,20.05,1.74,1.214
2004-12-01,1601.9,20.48,1.71,1.114
2005-01-01,1578.82,20.26,1.72,1.16
2005-02-01,1589.93,20.11,1.66,1.198
2005-03-01,1571.37,19.84,1.62,1.151
2005-04-01,1521.07,19.02,1.67,1.179
2005-05-01,1546.22,19.43,1.64,1.17
2005-06-01,1571.28,19.0,1.69,1.345
2005-07-01,1590.05,19.0,1.76,1.296
2005-08-01,1584.58,18.72,1.76,1.236
2005-09-01,1567.56,18.44,1.74,1.348
2005-10-01,1576.07,18.58,1.75,1.29
2005-11-01,1591.81,18.01,1.74,1.212
